ID;Дата и время создания;Дата последнего изменения;Код КПГЗ;Наименование КПГЗ;Вышестоящий КПГЗ;Описание;ОКПД;ОКПД-2;Код номенклатуры МЭР;Необходимость привязки к объекту городского хозяйства;Признак стандартизированной позиции;Требуется проведение государственной экспертизы;Относится к капитальному и текущему ремонту, благоустройству, устройству пешеходных зон, сносу и т.п.;Тип объекта городского хозяйства;Проект
4492722;29.03.2014 00:00:00;17.10.2016 14:02:24;03.01.08;МЕДИЦИНСКАЯ ПОМОЩЬ ПРИ САНАТОРНО-КУРОРТНОМ ЛЕЧЕНИИ;03.01 УСЛУГИ МЕДИЦИНСКИЕ;Медицинская помощь при санаторно-курортном лечении. Данная позиция не имеет подчиненных позиций.;85.11.16.210;86.90.19.140;;;Да;;;;Нет
3207413;29.03.2014 00:00:00;26.03.2016 00:00:00;03.01.05;МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ;03.01 УСЛУГИ МЕДИЦИНСКИЕ;В данную группировку входят: <br>- медицинская помощь скорая вне медицинских учреждений<br>- медицинская помощь скорая в амбулаторных условиях<br>- медицинская помощь скорая в стационарных условиях;85.14.14.190;86.90.14.000;85.11.990;;Нет;;;;Нет
3207415;26.03.2016 00:00:00;26.03.2016 00:00:00;03.01.05.02;МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ В АМБУЛАТОРНЫХ УСЛОВИЯХ;03.01.05 МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ;Медицинская помощь скорая в амбулаторных условиях. Данная позиция не имеет подчиненных позиций.;85.14.14.190;86.90.14.000;85.11.990;;Нет;;;;Нет
3207416;26.03.2016 00:00:00;26.03.2016 00:00:00;03.01.05.03;МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ В СТАЦИОНАРНЫХ УСЛОВИЯХ;03.01.05 МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ;Медицинская помощь скорая в стационарных условиях. Данная позиция не имеет подчиненных позиций.;85.14.14.190;86.90.14.000;85.11.990;;Нет;;;;Нет
3207414;26.03.2016 00:00:00;26.03.2016 00:00:00;03.01.05.01;МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ ВНЕ МЕДИЦИНСКИХ УЧРЕЖДЕНИЙ;03.01.05 МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ;Медицинская помощь скорая вне медицинских учреждений. Данная позиция не имеет подчиненных позиций.;85.14.14.190;86.90.14.000;85.11.990;;Нет;;;;Нет
3207417;29.03.2014 00:00:00;26.03.2016 00:00:00;03.01.06;МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ СПЕЦИАЛИЗИРОВАННАЯ;03.01 УСЛУГИ МЕДИЦИНСКИЕ;В данную группировку входят: <br>- медицинская помощь скорая специализированная вне медицинских учреждений<br>- медицинская помощь скорая специализированная в амбулаторных условиях<br>- медицинская помощь скорая специализированная в стационарных условиях;85.14.14.190;86.90.14.000;85.11.990;;Нет;;;;Нет
3207419;26.03.2016 00:00:00;26.03.2016 00:00:00;03.01.06.02;МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ СПЕЦИАЛИЗИРОВАННАЯ В АМБУЛАТОРНЫХ УСЛОВИЯХ;03.01.06 МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ СПЕЦИАЛИЗИРОВАННАЯ;Медицинская помощь скорая специализированная в амбулаторных условиях. Данная позиция не имеет подчиненных позиций.;85.14.14.190;86.90.14.000;85.11.990;;Нет;;;;Нет
3207420;26.03.2016 00:00:00;26.03.2016 00:00:00;03.01.06.03;МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ СПЕЦИАЛИЗИРОВАННАЯ В СТАЦИОНАРНЫХ УСЛОВИЯХ;03.01.06 МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ СПЕЦИАЛИЗИРОВАННАЯ;Медицинская помощь скорая специализированная в стационарных условиях. Данная позиция не имеет подчиненных позиций.;85.14.14.190;86.90.14.000;85.11.990;;Нет;;;;Нет
3207418;26.03.2016 00:00:00;26.03.2016 00:00:00;03.01.06.01;МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ СПЕЦИАЛИЗИРОВАННАЯ ВНЕ МЕДИЦИНСКИХ УЧРЕЖДЕНИЙ;03.01.06 МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ СПЕЦИАЛИЗИРОВАННАЯ;Медицинская помощь скорая специализированная вне медицинских учреждений. Данная позиция не имеет подчиненных позиций.;85.14.14.190;86.90.14.000;85.11.990;;Нет;;;;Нет
3207407;29.03.2014 00:00:00;26.03.2016 00:00:00;03.01.03;МЕДИЦИНСКАЯ ПОМОЩЬ СПЕЦИАЛИЗИРОВАННАЯ;03.01 УСЛУГИ МЕДИЦИНСКИЕ;В данную группировку входят: <br>- медицинская помощь специализированная в условиях дневного стационара<br>- медицинская помощь специализированная в стационарных условиях;85.12.12.120;86.22.19.000;85.11.990;;Нет;;;;Нет
3207409;26.03.2016 00:00:00;26.03.2016 00:00:00;03.01.03.02;МЕДИЦИНСКАЯ ПОМОЩЬ СПЕЦИАЛИЗИРОВАННАЯ В СТАЦИОНАРНЫХ УСЛОВИЯХ;03.01.03 МЕДИЦИНСКАЯ ПОМОЩЬ СПЕЦИАЛИЗИРОВАННАЯ;Медицинская помощь специализированная в стационарных условиях. Данная позиция не имеет подчиненных позиций.;85.12.12.120;86.22.19.000;85.11.990;;Нет;;;;Нет
3207408;26.03.2016 00:00:00;26.03.2016 00:00:00;03.01.03.01;МЕДИЦИНСКАЯ ПОМОЩЬ СПЕЦИАЛИЗИРОВАННАЯ В УСЛОВИЯХ ДНЕВНОГО СТАЦИОНАРА;03.01.03 МЕДИЦИНСКАЯ ПОМОЩЬ СПЕЦИАЛИЗИРОВАННАЯ;Медицинская помощь специализированная в условиях дневного стационара. Данная позиция не имеет подчиненных позиций.;85.12.11.130;86.21.10.130;85.11.990;;Нет;;;;Нет
3203832;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;01.02.05.03 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ СОСТАВА И СВОЙСТВ БИОЛОГИЧЕСКИХ ЖИДКОСТЕЙ;В данную группировку входят: <br>- медицинские анализаторы влажности<br>- медицинские анализаторы жидкости<br>- медицинские анализаторы с электродами<br>- медицинские анализаторы агрегации тромбоцитов, агрегометры<br>- медицинские анализаторы агрегации эритроцитов<br>- медицинские анализаторы аминокислот<br>- автоматические биохимические медицинские анализаторы<br>- автоматические биохимические дискретные медицинские анализаторы<br>- автоматические биохимические медицинские анализаторы непрерывного потока<br>- автоматические биохимические центрифужные медицинские анализаторы<br>- биохимические ручные медицинские анализаторы<br>- медицинские анализаторы газов и электролитов крови<br>- медицинские анализаторы гликолизированного (гликированного) гемоглобина<br>- медицинские анализаторы глюкозы в крови (глюкометры)<br>- медицинские анализаторы глюкозы в крови (глюкометры), экспресс-анализаторы портативные<br>- медицинские анализаторы кислотно-щелочного состава крови<br>- медицинские анализаторы лактата<br>- медицинские анализаторы мочи<br>- медицинские анализаторы мочи скрининговые на полосках<br>- медицинские анализаторы пота для диагностики муковисцидоза<br>- медицинские анализаторы реологических свойств крови<br>- медицинские анализаторы скорости оседания эритроцитов (соэ)<br>- медицинские анализаторы электролитов ионоселективные<br>- медицинские анализаторы молока<br>- медицинские анализаторы белка;33.20.53.219;26.51.53.190;33.10.370;;Нет;;;;Нет
3203836;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.04;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ АГРЕГАЦИИ ТРОМБОЦИТОВ, АГРЕГОМЕТРЫ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы агрегации тромбоцитов, агрегометры. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203837;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.05;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ АГРЕГАЦИИ ЭРИТРОЦИТОВ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы агрегации эритроцитов. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203838;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.06;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ АМИНОКИСЛОТ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы аминокислот. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203857;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.26;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ БЕЛКА;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы белка. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203833;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.01;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ВЛАЖНОСТИ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы влажности. Данная позиция не имеет подчиненных позиций.;33.20.53.219;26.51.53.190;33.10.370;;Нет;;;;Нет
3203844;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.13;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ГАЗОВ И ЭЛЕКТРОЛИТОВ КРОВИ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы газов и электролитов крови. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203845;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.14;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ГЛИКОЛИЗИРОВАННОГО (ГЛИКИРОВАННОГО) ГЕМОГЛОБИНА;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы гликолизированного (гликированного) гемоглобина. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203846;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.15;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ГЛЮКОЗЫ В КРОВИ (ГЛЮКОМЕТРЫ);01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы глюкозы в крови (глюкометры). Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203847;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.16;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ГЛЮКОЗЫ В КРОВИ (ГЛЮКОМЕТРЫ), ЭКСПРЕСС-АНАЛИЗАТОРЫ ПОРТАТИВНЫЕ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы глюкозы в крови (глюкометры), экспресс-анализаторы портативные. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203924;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.07.01;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ДЛЯ КЛИНИКО-ДИАГНОСТИЧЕСКИХ ЛАБОРАТОРНЫХ ИССЛЕДОВАНИЙ;01.02.05.07 КОМПЛЕКСЫ И КОМПЛЕКТЫ (НАБОРЫ) ДЛЯ КЛИНИКО-ДИАГНОСТИЧЕСКИХ ЛАБОРАТОРНЫХ ИССЛЕДОВАНИЙ;В данную группировку входят: <br>- гематологические автоматические анализаторы<br>- гематологические полуавтоматические анализаторы<br>- анализаторы для определения уровня фертильных гормонов в моче<br>- анализаторы для определения тропина;33.20.53.321;26.51.53.190;33.10.370;;Нет;;;;Нет
3203834;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.02;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ЖИДКОСТИ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы жидкости. Данная позиция не имеет подчиненных позиций.;33.20.53.219;26.51.53.190;33.10.370;;Нет;;;;Нет
3203848;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.17;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ КИСЛОТНО-ЩЕЛОЧНОГО СОСТАВА КРОВИ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы кислотно-щелочного состава крови. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203849;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.18;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ЛАКТАТА;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы лактата. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203856;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.25;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ МОЛОКА;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы молока. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203850;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.19;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ МОЧИ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы мочи. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203851;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.20;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ МОЧИ СКРИНИНГОВЫЕ НА ПОЛОСКАХ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы мочи скрининговые на полосках. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203852;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.21;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ПОТА ДЛЯ ДИАГНОСТИКИ МУКОВИСЦИДОЗА;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы пота для диагностики муковисцидоза. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203853;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.22;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ РЕОЛОГИЧЕСКИХ СВОЙСТВ КРОВИ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы реологических свойств крови. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203835;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.03;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ С ЭЛЕКТРОДАМИ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы с электродами. Данная позиция не имеет подчиненных позиций.;33.20.53.219;26.51.53.190;33.10.370;;Нет;;;;Нет
3203854;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.23;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ СКОРОСТИ ОСЕДАНИЯ ЭРИТРОЦИТОВ (СОЭ);01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы скорости оседания эритроцитов (соэ). Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203831;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ СОСТАВА И СВОЙСТВ БИОЛОГИЧЕСКИХ ЖИДКОСТЕЙ;01.02.05 МЕДИЦИНСКОЕ ОБОРУДОВАНИЕ;В данную группировку входят: <br>- медицинские анализаторы<br>- аппараты для определения группы крови и резус-фактора<br>- гемовискозиметры (анализаторы вязкости крови)<br>- гемоглобинометры, анализаторы гемоглобина<br>- автоматические гемокоагулометры<br>- измерители плотности жидких сред<br>- карты (анализаторы) для определения группы крови и резус-фактора по гелевой технологии<br>- кондуктометры (измерители общей минерализации)<br>- системы постоянного мониторирования глюкозы в крови<br>- тромбоэластомеры, тромбоэластографы<br>- фотометры отражательные<br>- фотометры пламенные (анализаторы электролитов)<br>- экспресс-анализаторы крови<br>- экспресс-анализаторы мочи на полосках<br>- автоматические биохимические анализаторы (фотометры)<br>- полуавтоматические биохимические анализаторы (фотометры)<br>- анализаторы иммуно-турбидиметрические<br>- анализаторы иммунодефицита<br>- анализаторы иммуноферментные (ифа) (фотометры) белков, энзимов<br>- анализаторы иммуноферментные планшетные (фотометры)<br>- иммунофлюоресцентные анализаторы<br>- иммунохроматографические анализаторы для получения изображения<br>- микробиологические анализаторы (исследование микробов крови и других жидкостей)<br>- анализаторы, экспресс-анализаторы микробиологические автоматизированные<br>- коагулометры<br>- коагулометр автоматический, анализатор свертываемости, анализатор гемостаза<br>- люминометры (хемолюминометры) для иммунологических, иммунохимических и иммунохемилюминесцентных исследований<br>- люминометры<br>- флуориметры (флюориметры, флюорометры)<br>- планшетные фотометры для проведения ифа<br>- микропланшетные фотометры для определения ифа<br>- фотометры фотоэлектрические для определения ифа<br>- портативные фотометры<br>- специализированные фотометры для выполнения анализов с хромогенными субстратами<br>- цитометры, гемоцитометры, цитофлюориметры проточные<br>- анализаторы акустические белка и белковых фракций<br>- анализаторы для диагностики неотложных состояний<br>- анализаторы наркотических и сильнодействующих лекарственных средств<br>- анализаторы растворенного кислорода<br>- коагулографы<br>- коагулометры полуавтоматические, анализаторы свертываемости, анализаторы гемостаза<br>- нефелометры медицинские (анализаторы нефелометрические иммунологические)<br>- осмометры, милиосмотетры<br>- колориметры фотоэлектрические<br>- медицинские поляриметры<br>- рефрактометры (лабораторные)<br>- системы тонкослойной хроматографии<br>- анализаторы пцр (полимеразной цепной реакции) образцов днк<br>- спермоанализаторы;33.20.53.219;26.51.53.190;33.10.370;;Нет;;;;Нет
3203855;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.03.01.24;МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ ЭЛЕКТРОЛИТОВ ИОНОСЕЛЕКТИВНЫЕ;01.02.05.03.01 МЕДИЦИНСКИЕ АНАЛИЗАТОРЫ;Медицинские анализаторы электролитов ионоселективные. Данная позиция не имеет подчиненных позиций.;33.20.53.319;26.51.53.190;33.10.420;;Нет;;;;Нет
3203417;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.03.01.10;МЕДИЦИНСКИЕ БЛУЗОНЫ;01.02.03.01 ОДЕЖДА МЕДИЦИНСКОГО НАЗНАЧЕНИЯ;Медицинские блузоны. Данная позиция не имеет подчиненных позиций.;18.24.12.219;14.19.12.190;18.21.141;;Нет;;;;Нет
3203384;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.02.14.03;МЕДИЦИНСКИЕ БОРЫ;01.02.02.14 ХИРУРГИЧЕСКИЕ МНОГОЛЕЗВЕННЫЕ НОЖНИЦЫ С ВРАЩЕНИЕМ ВОКРУГ СОБСТВЕННОЙ ОСИ;Медицинские боры. Данная позиция не имеет подчиненных позиций.;33.10.15.136;32.50.13.190;33.10.991;;Нет;;;;Нет
3203418;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.03.01.11;МЕДИЦИНСКИЕ БРЮКИ;01.02.03.01 ОДЕЖДА МЕДИЦИНСКОГО НАЗНАЧЕНИЯ;Медицинские брюки. Данная позиция не имеет подчиненных позиций.;18.24.12.210;14.19.12.190;18.21.141;;Нет;;;;Нет
4251488;29.03.2014 00:00:00;08.09.2016 12:24:54;01.02.02.17.02;МЕДИЦИНСКИЕ БУЖИ;01.02.02.17 ЗОНДИРУЮЩИЕ, БУЖИРУЮЩИЕ МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ;Медицинские бужи. Данная позиция не имеет подчиненных позиций.;33.10.15.162;32.50.13.190;;;Нет;;;;Нет
3203545;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.01.08.04;МЕДИЦИНСКИЕ ВЕСЫ;01.02.05.01.08 СРЕДСТВА ИЗМЕРЕНИЯ ДЛЯ МАССЫ, СИЛЫ, ЭНЕРГИИ, ЛИНЕЙНЫХ И УГЛОВЫХ ВЕЛИЧИН, ТЕМПЕРАТУРЫ;Медицинские весы. Данная позиция не имеет подчиненных позиций.;33.10.12.122;26.60.12.122;29.24.350;;Нет;;;;Нет
3204257;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.23.06;МЕДИЦИНСКИЕ ВОЗДУХООЧИСТИТЕЛИ;01.02.05.23 ОБОРУДОВАНИЕ ДЛЯ ОЧИСТКИ И ОБОГАЩЕНИЯ ВОЗДУХА;Медицинские воздухоочистители. Данная позиция не имеет подчиненных позиций.;29.23.14.119;28.25.14.110;29.24.240;;Нет;;;;Нет
8504776;29.03.2014 00:00:00;02.02.2017 11:34:27;01.02.02.06.02.01;МЕДИЦИНСКИЕ ВОРОНКИ;01.02.02.06.02 ЗЕРКАЛА И ПРОЧИЕ ОТТЕСНЯЮЩИЕ МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ;Медицинские воронки. Данная позиция не имеет подчиненных позиций.;26.24.11.122;32.50.13.190;;;Нет;;;;Нет
3203422;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.03.03;МЕДИЦИНСКИЕ ГОЛОВНЫЕ УБОРЫ;01.02.03 ОДЕЖДА, ОБУВЬ, ГОЛОВНЫЕ УБОРЫ МЕДИЦИНСКОГО НАЗНАЧЕНИЯ;В данную группировку входят: <br>- медицинские колпаки<br>- медицинские косынки<br>- медицинские шапочки<br>- медицинские пилотки;18.24.42.720;14.19.42.160;36.63.000;;Нет;;;;Нет
4234312;29.03.2014 00:00:00;06.09.2016 15:07:01;01.02.02.15.04;МЕДИЦИНСКИЕ ДЕРЖАТЕЛИ;01.02.02.15 МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ МНОГОПОВЕРХНОСТНОГО ВОЗДЕЙСТВИЯ;Медицинские держатели. Данная позиция не имеет подчиненных позиций.;33.10.15.154;32.50.13.190;;Нет;Нет;;Нет;;Нет
3204044;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.05.14.07;МЕДИЦИНСКИЕ ДУШИ;01.02.05.14 ВОДОЛЕЧЕБНЫЕ И БАЛЬНЕОЛОГИЧЕСКИЕ МЕХАНОТЕРАПЕВТИЧЕСКИЕ АППАРАТЫ;Медицинские души. Данная позиция не имеет подчиненных позиций.;33.10.16.110;32.50.21.112;33.10.450;;Нет;;;;Нет
3203386;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.02.15.01;МЕДИЦИНСКИЕ ЗАЖИМЫ;01.02.02.15 МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ МНОГОПОВЕРХНОСТНОГО ВОЗДЕЙСТВИЯ;Медицинские зажимы. Данная позиция не имеет подчиненных позиций.;33.10.15.151;32.50.13.190;21.22.250;;Нет;;;;Нет
3203352;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.02.06.02.02;МЕДИЦИНСКИЕ ЗЕРКАЛА;01.02.02.06.02 ЗЕРКАЛА И ПРОЧИЕ ОТТЕСНЯЮЩИЕ МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ;Медицинские зеркала. Данная позиция не имеет подчиненных позиций.;33.10.15.142;32.50.13.190;33.10.370;;Нет;;;;Нет
3203392;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.02.17.01;МЕДИЦИНСКИЕ ЗОНДЫ;01.02.02.17 ЗОНДИРУЮЩИЕ, БУЖИРУЮЩИЕ МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ;Медицинские зонды. Данная позиция не имеет подчиненных позиций.;33.10.15.161;32.50.13.190;33.10.991;;Нет;;;;Нет
3203333;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.02.04.02;МЕДИЦИНСКИЕ ИГЛЫ;01.02.02.04 КОЛЮЩИЕ МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ;В данную группировку входят: <br>- стержневые медицинские иглы<br>- трубчатые (инъекционные) медицинские иглы<br>- лигатурные иглы<br>- хирургические атравматические круглые иглы<br>- иглы для прогреваемых электроспреев;33.10.15.120;32.50.13.110;36.63.000;;Нет;;;;Нет
7611967;29.03.2014 00:00:00;07.11.2016 10:15:44;01.02.02.15;МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ МНОГОПОВЕРХНОСТНОГО ВОЗДЕЙСТВИЯ;01.02.02 МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ, ИНВЕНТАРЬ;В данную группировку входят: <br>- медицинские зажимы<br>- медицинские пинцеты<br>- медицинские щипцы<br>- медицинские держатели;33.10.15.150;32.50.13.190;;;Нет;;;;Нет
3203309;29.03.2014 00:00:00;26.03.2016 00:00:00;01.02.02;МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ, ИНВЕНТАРЬ;01.02 ТОВАРЫ МЕДИЦИНСКИЕ;В данную группировку входят: <br>- сшивающие механизированные инструменты<br>- режущие инструменты<br>- механизированные медицинские инструменты<br>- колющие медицинские инструменты<br>- разделяющие медицинские инструменты<br>- оттесняющие медицинские инструменты<br>- извлекающие медицинские инструменты<br>- режущие, ударные хирургические инструменты с острой (режущей) кромкой<br>- однолезвенные рашпили, хирургические напильники<br>- однолезвенные скоблящие хирургические инструменты<br>- хирургические томы<br>- выкусывающие хирургические инструменты<br>- хирургические ножницы<br>- хирургические многолезвенные ножницы с вращением вокруг собственной оси<br>- медицинские инструменты многоповерхностного воздействия<br>- раздавливающие медицинские инструменты<br>- зондирующие, бужирующие медицинские инструменты<br>- травматологические инструменты, инвентарь<br>- процедурные подушки под локоть<br>- медицинские лотки<br>- офтальмологические наборы<br>- стоматологические инструменты и инвентарь прочие<br>- хирургические инструменты и инвентарь прочие<br>- медицинские наборы инструментов общего назначения;33.10.15.616;32.50.13.190;33.10.350;;Нет;;;;Нет
8494820;29.03.2014 00:00:00;31.01.2017 17:13:05;01.02.05.01.04.04;МЕДИЦИНСКИЕ ИНФРАКРАСНЫЕ ДИАГНОСТИЧЕСКИЕ АППАРАТЫ;01.02.05.01.04 ПРИБОРЫ ДЛЯ ФУНКЦИОНАЛЬНОЙ ДИАГНОСТИКИ;Медицинские инфракрасные диагностические аппараты. Данная позиция не имеет подчиненных позиций.;33.10.15.420;26.60.12.110;;;Нет;;;;Нет
